2016-10-24 16:18:15.572718 (39)  	2 duplicate_received
2016-10-24 16:18:15.575047 (18)  	2 duplicate_received
2016-10-24 16:18:15.577909 (112)  	2 duplicate_received
2016-10-24 16:18:15.580487 (41)  	2 duplicate_received
2016-10-24 16:18:15.883213 (39)  	2 duplicate_received
2016-10-24 16:18:15.891699 (40)  	2 duplicate_received
2016-10-24 16:18:15.900278 (171)  	2 duplicate_received
2016-10-24 16:18:15.902908 (148)  	2 duplicate_received
2016-10-24 16:18:15.997953 (59)  	2 duplicate_received
2016-10-24 16:18:16.1721 (92)  	2 duplicate_received
2016-10-24 16:18:16.4943 (21)  	2 duplicate_received
2016-10-24 16:18:16.245870 (39)  	2 duplicate_received
2016-10-24 16:18:16.7433 (41)  	2 duplicate_received
2016-10-24 16:18:16.251200 (40)  	3 duplicate_received
2016-10-24 16:18:16.253670 (76)  	2 duplicate_received
2016-10-24 16:18:16.134218 (58)  	2 duplicate_received
2016-10-24 16:18:16.136871 (57)  	2 duplicate_received
2016-10-24 16:18:16.139657 (74)  	2 duplicate_received
2016-10-24 16:18:16.142150 (111)  	3 duplicate_received
2016-10-24 16:18:16.265868 (111)  	3 duplicate_received
2016-10-24 16:18:16.268525 (170)  	2 duplicate_received
2016-10-24 16:18:16.271000 (132)  	2 duplicate_received
2016-10-24 16:18:16.273978 (59)  	2 duplicate_received
2016-10-24 16:18:16.248213 (92)  	2 duplicate_received
2016-10-24 16:18:16.317813 (58)  	2 duplicate_received
2016-10-24 16:18:16.320788 (75)  	1 duplicate_received
2016-10-24 16:18:16.323091 (2)  	2 duplicate_received
2016-10-24 16:18:16.325531 (57)  	2 duplicate_received
2016-10-24 16:18:16.683409 (112)  	2 duplicate_received
2016-10-24 16:18:16.686153 (4)  	2 duplicate_received
2016-10-24 16:18:16.688572 (20)  	2 duplicate_received
2016-10-24 16:18:16.689039 (150)  	2 duplicate_received
2016-10-24 16:18:16.691826 (115)  	2 duplicate_received
2016-10-24 16:18:16.692914 (41)  	2 duplicate_received
2016-10-24 16:18:16.694361 (2)  	2 duplicate_received
2016-10-24 16:18:16.697019 (21)  	2 duplicate_received
2016-10-24 16:18:16.800660 (111)  	3 duplicate_received
2016-10-24 16:18:16.803846 (40)  	3 duplicate_received
2016-10-24 16:18:16.805911 (132)  	2 duplicate_received
2016-10-24 16:18:16.808521 (18)  	3 duplicate_received
2016-10-24 16:18:17.45871 (18)  	3 duplicate_received
2016-10-24 16:18:17.48933 (56)  	2 duplicate_received
2016-10-24 16:18:17.50677 (41)  	2 duplicate_received
2016-10-24 16:18:17.52742 (37)  	2 duplicate_received
2016-10-24 16:18:17.53670 (93)  	2 duplicate_received
2016-10-24 16:18:17.59206 (111)  	3 duplicate_received
2016-10-24 16:18:17.55097 (96)  	2 duplicate_received
2016-10-24 16:18:17.56326 (131)  	2 duplicate_received
2016-10-24 16:18:17.164786 (112)  	3 duplicate_received
2016-10-24 16:18:17.167923 (37)  	2 duplicate_received
2016-10-24 16:18:17.170036 (19)  	2 duplicate_received
2016-10-24 16:18:17.172587 (131)  	2 duplicate_received
2016-10-24 16:18:17.541284 (171)  	3 duplicate_received
2016-10-24 16:18:17.544206 (4)  	2 duplicate_received
2016-10-24 16:18:17.546619 (149)  	3 duplicate_received
2016-10-24 16:18:17.549816 (93)  	2 duplicate_received
2016-10-24 16:18:17.768206 (129)  	2 duplicate_received
2016-10-24 16:18:17.770636 (58)  	2 duplicate_received
2016-10-24 16:18:17.772721 (131)  	3 duplicate_received
2016-10-24 16:18:17.775287 (59)  	2 duplicate_received
2016-10-24 16:18:17.811326 (18)  	3 duplicate_received
2016-10-24 16:18:17.814454 (75)  	2 duplicate_received
2016-10-24 16:18:17.817232 (74)  	3 duplicate_received
2016-10-24 16:18:17.819318 (167)  	2 duplicate_received
2016-10-24 16:18:17.924936 (151)  	3 duplicate_received
2016-10-24 16:18:17.927422 (1)  	2 duplicate_received
2016-10-24 16:18:17.930148 (58)  	2 duplicate_received
2016-10-24 16:18:17.932833 (59)  	2 duplicate_received
2016-10-24 16:18:18.86722 (131)  	3 duplicate_received
2016-10-24 16:18:18.89799 (93)  	2 duplicate_received
2016-10-24 16:18:18.93327 (19)  	2 duplicate_received
2016-10-24 16:18:18.98204 (115)  	3 duplicate_received
2016-10-24 16:18:18.106364 (18)  	3 duplicate_received
2016-10-24 16:18:18.113836 (21)  	2 duplicate_received
2016-10-24 16:18:18.109308 (39)  	3 duplicate_received
2016-10-24 16:18:18.111688 (40)  	3 duplicate_received
2016-10-24 16:18:18.246889 (148)  	3 duplicate_received
2016-10-24 16:18:18.249762 (169)  	2 duplicate_received
2016-10-24 16:18:18.252424 (149)  	3 duplicate_received
2016-10-24 16:18:18.255931 (39)  	3 duplicate_received
2016-10-24 16:18:18.469526 (37)  	2 duplicate_received
2016-10-24 16:18:18.471953 (40)  	3 duplicate_received
2016-10-24 16:18:18.474844 (149)  	3 duplicate_received
2016-10-24 16:18:18.477378 (167)  	2 duplicate_received
2016-10-24 16:18:18.489614 (151)  	3 duplicate_received
2016-10-24 16:18:18.492024 (76)  	3 duplicate_received
2016-10-24 16:18:18.494457 (38)  	3 duplicate_received
2016-10-24 16:18:18.496952 (171)  	3 duplicate_received
2016-10-24 16:18:18.890161 (18)  	3 duplicate_received
2016-10-24 16:18:18.893061 (112)  	3 duplicate_received
2016-10-24 16:18:18.896437 (167)  	2 duplicate_received
2016-10-24 16:18:18.899179 (96)  	2 duplicate_received
2016-10-24 16:18:18.965152 (150)  	2 duplicate_received
2016-10-24 16:18:18.968233 (37)  	2 duplicate_received
2016-10-24 16:18:18.970437 (132)  	2 duplicate_received
2016-10-24 16:18:18.973803 (39)  	3 duplicate_received
2016-10-24 16:18:19.977007 (112)  	3 duplicate_received
2016-10-24 16:18:19.979649 (169)  	3 duplicate_received
2016-10-24 16:18:19.982603 (21)  	2 duplicate_received
2016-10-24 16:18:19.984985 (171)  	3 duplicate_received
2016-10-24 16:18:19.991751 (18)  	3 duplicate_received
2016-10-24 16:18:19.994879 (58)  	3 duplicate_received
2016-10-24 16:18:19.997449 (166)  	3 duplicate_received
2016-10-24 16:18:20.176 (39)  	3 duplicate_received
2016-10-24 16:18:20.63357 (129)  	3 duplicate_received
2016-10-24 16:18:20.66203 (170)  	2 duplicate_received
2016-10-24 16:18:20.68435 (19)  	3 duplicate_received
2016-10-24 16:18:20.71061 (1)  	2 duplicate_received
2016-10-24 16:18:20.263273 (41)  	3 duplicate_received
2016-10-24 16:18:20.265929 (93)  	2 duplicate_received
2016-10-24 16:18:20.268074 (150)  	3 duplicate_received
2016-10-24 16:18:20.270174 (18)  	3 duplicate_received
2016-10-24 16:18:20.270699 (129)  	3 duplicate_received
2016-10-24 16:18:20.272761 (92)  	3 duplicate_received
2016-10-24 16:18:20.275350 (75)  	2 duplicate_received
2016-10-24 16:18:20.277531 (1)  	2 duplicate_received
2016-10-24 16:18:20.302542 (112)  	3 duplicate_received
2016-10-24 16:18:20.305026 (41)  	3 duplicate_received
2016-10-24 16:18:20.308400 (78)  	3 duplicate_received
2016-10-24 16:18:20.313385 (171)  	3 duplicate_received
2016-10-24 16:18:20.440221 (171)  	3 duplicate_received
2016-10-24 16:18:20.442828 (115)  	3 duplicate_received
2016-10-24 16:18:20.443644 (58)  	3 duplicate_received
2016-10-24 16:18:20.445433 (20)  	3 duplicate_received
2016-10-24 16:18:20.445986 (2)  	3 duplicate_received
2016-10-24 16:18:20.448491 (38)  	3 duplicate_received
2016-10-24 16:18:20.448006 (57)  	3 duplicate_received
2016-10-24 16:18:20.450743 (151)  	3 duplicate_received
2016-10-24 16:18:20.452786 (112)  	3 duplicate_received
2016-10-24 16:18:20.455402 (37)  	3 duplicate_received
2016-10-24 16:18:20.457869 (40)  	3 duplicate_received
2016-10-24 16:18:20.460214 (39)  	3 duplicate_received
2016-10-24 16:18:20.483928 (75)  	2 duplicate_received
2016-10-24 16:18:20.486012 (57)  	3 duplicate_received
2016-10-24 16:18:20.488453 (167)  	2 duplicate_received
2016-10-24 16:18:20.490520 (149)  	4 duplicate_received
2016-10-24 16:18:20.878671 (171)  	3 duplicate_received
2016-10-24 16:18:20.880699 (18)  	3 duplicate_received
2016-10-24 16:18:20.883081 (131)  	3 duplicate_received
2016-10-24 16:18:20.885751 (41)  	3 duplicate_received
2016-10-24 16:18:21.135317 (151)  	4 duplicate_received
2016-10-24 16:18:21.137378 (38)  	3 duplicate_received
2016-10-24 16:18:21.139859 (74)  	3 duplicate_received
2016-10-24 16:18:21.142021 (96)  	3 duplicate_received
2016-10-24 16:18:21.319450 (151)  	4 duplicate_received
2016-10-24 16:18:21.321614 (113)  	3 duplicate_received
2016-10-24 16:18:21.323608 (19)  	3 duplicate_received
2016-10-24 16:18:21.325963 (133)  	3 duplicate_received
2016-10-24 16:18:21.684977 (129)  	3 duplicate_received
2016-10-24 16:18:21.688063 (171)  	3 duplicate_received
2016-10-24 16:18:21.690058 (151)  	4 duplicate_received
2016-10-24 16:18:21.690101 (19)  	3 duplicate_received
2016-10-24 16:18:21.692608 (78)  	3 duplicate_received
2016-10-24 16:18:21.693455 (149)  	4 duplicate_received
2016-10-24 16:18:21.696794 (74)  	4 duplicate_received
2016-10-24 16:18:21.698784 (133)  	3 duplicate_received
2016-10-24 16:18:21.801909 (112)  	3 duplicate_received
2016-10-24 16:18:21.804211 (113)  	3 duplicate_received
2016-10-24 16:18:21.806886 (151)  	4 duplicate_received
2016-10-24 16:18:21.809259 (59)  	3 duplicate_received
2016-10-24 16:18:22.46380 (148)  	4 duplicate_received
2016-10-24 16:18:22.49293 (92)  	4 duplicate_received
2016-10-24 16:18:22.51517 (132)  	3 duplicate_received
2016-10-24 16:18:22.54139 (58)  	3 duplicate_received
2016-10-24 16:18:22.770336 (148)  	4 duplicate_received
2016-10-24 16:18:22.772856 (170)  	3 duplicate_received
2016-10-24 16:18:22.775122 (20)  	3 duplicate_received
2016-10-24 16:18:22.777246 (150)  	3 duplicate_received
2016-10-24 16:18:24.190085 (131)  	4 duplicate_received
2016-10-24 16:18:24.193216 (76)  	4 duplicate_received
2016-10-24 16:18:24.195559 (166)  	4 duplicate_received
2016-10-24 16:18:24.198689 (21)  	3 duplicate_received
2016-10-24 16:18:25.65499 (56)  	3 duplicate_received
2016-10-24 16:18:25.68112 (92)  	4 duplicate_received
2016-10-24 16:18:25.70290 (167)  	3 duplicate_received
2016-10-24 16:18:25.72177 (131)  	4 duplicate_received
